"project_type"
"Auto Parts and Service Center"
"Automobile Sales"
"Bowling Alley"
"Building Materials/Lumber"
"Church"
"Daycare Center"
"Developed Campground/RV Park"
"Drinking Place"
"Elementary School"
"Fast Food Restaurant"
"Free-Standing Discount Store"
"Furniture Store"
"General Office Building (GFA of more than 5,000 sf)"
"General retail"
"Golf Course"
"Health and Fitness Club"
"High School"
"High Turnover Sit-Down Restaurant (<1 hr. turnover)"
"Hospital"
"Hotel"
"Library"
"Light industrial"
"Marina"
"Medical – Dental Office Building"
"Middle School/Junior High School"
"Mixed-Use"
"Motel"
"Movie Theater (traditional)"
"Pharmacy/Drugstore"
"Private School (K-12)"
"Public Park"
"Quality Restaurant (>1 hr. turnover)"
"Recreational Community Center"
"Residential"
"Supermarket"
"Timeshare"
"Unique Project Type"
"University/College"
"Walk-In Bank"
"Warehouse"
